"SalesID","SalePrice","MachineID","ModelID","datasource","auctioneerID","YearMade","MachineHoursCurrentMeter","UsageBand","saledate","fiModelDesc","fiBaseModel","fiSecondaryDesc","fiModelSeries","fiModelDescriptor","ProductSize","fiProductClassDesc","state","ProductGroup","ProductGroupDesc","Drive_System","Enclosure","Forks","Pad_Type","Ride_Control","Stick","Transmission","Turbocharged","Blade_Extension","Blade_Width","Enclosure_Type","Engine_Horsepower","Hydraulics","Pushblock","Ripper","Scarifier","Tip_Control","Tire_Size","Coupler","Coupler_System","Grouser_Tracks","Hydraulics_Flow","Track_Type","Undercarriage_Pad_Width","Stick_Length","Thumb","Pattern_Changer","Grouser_Type","Backhoe_Mounting","Blade_Type","Travel_Controls","Differential_Type","Steering_Controls"
2222031,23000,1176282,4124,136,1,1978,0,"","3/23/2010 0:00","D6D","D6","D","","","Medium","Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower","North Carolina","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","",""
1594109,11000,1510096,8009,132,1,2000,NA,"","5/9/2007 0:00","250","250","","","","","Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity","Texas","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
1603930,42500,1329859,22057,132,1,1999,NA,"","3/19/2010 0:00","200LC","200","","","LC","Large / Medium","Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons","Minnesota","TEX","Track Excavators","","EROPS","","","","","","","","","","","Auxiliary","","","","","","None or Unspecified","","","","Steel","None or Unspecified","9' 6""","None or Unspecified","None or Unspecified","Double","","","","",""
1386083,40500,527019,4327,132,6,1988,NA,"","7/26/1994 0:00","IT18B","IT18","B","","","","Wheel Loader - 100.0 to 110.0 Horsepower","Tennessee","WL","Wheel Loader","","OROPS","None or Unspecified","","None or Unspecified","","","","","","","","3 Valve","","","","","17.5","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1804925,11000,1322724,9563,132,2,1998,NA,"","5/26/2004 0:00","863","863","","","","","Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity","Florida","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
2263255,11000,1667214,7261,136,99,1000,0,"","3/10/2010 0:00","920","920","","","","","Wheel Loader - 90.0 to 100.0 Horsepower","Alabama","WL","Wheel Loader","","OROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","17.5","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1723189,33000,1324172,5202,132,1,1000,NA,"","10/14/1999 0:00","K907C","K907","C","","","Large / Medium","Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons","Louisiana","TEX","Track Excavators","","EROPS w AC","","","","","","","","","","","Standard","","","","","","None or Unspecified","","","","Steel","32 inch","None or Unspecified","None or Unspecified","None or Unspecified","Triple","","","","",""
1463979,47000,336020,7057,132,6,1994,NA,"","5/7/1998 0:00","312","312","","","","Small","Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons","Tennessee","TEX","Track Excavators","","EROPS w AC","","","","","","","","","","","Standard","","","","","","None or Unspecified","","","","Steel","28 inch","None or Unspecified","None or Unspecified","None or Unspecified","Triple","","","","",""
1347247,29000,1303710,7271,132,1,1986,NA,"","12/4/2001 0:00","936","936","","","","Medium","Wheel Loader - 135.0 to 150.0 Horsepower","California","WL","Wheel Loader","","EROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","20.5","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1402363,67500,1468729,3362,132,1,1993,NA,"","11/17/2005 0:00","140G","140","G","","","","Motorgrader - 145.0 to 170.0 Horsepower","Texas","MG","Motor Graders","No","OROPS","","","","","None or Unspecified","","None or Unspecified","None or Unspecified","None or Unspecified","No","Base + 1 Function","None or Unspecified","None or Unspecified","None or Unspecified","None or Unspecified","None or Unspecified","","","","","","","","","","","","","","",""
1493667,33000,734041,2759,132,20,1990,NA,"","4/14/1999 0:00","D5HII","D5","H","II","","Medium","Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower","Arkansas","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","Straight","None or Unspecified","",""
1801168,6750,1118227,9550,132,2,1995,NA,"","2/4/2002 0:00","753","753","","","","","Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity","Florida","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
2352608,14000,1777387,4640,136,NA,1995,0,"","9/13/2008 0:00","410D","410","D","","","","Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth","California","BL","Backhoe Loaders","Two Wheel Drive","OROPS","None or Unspecified","None or Unspecified","No","Extended","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
1281909,12500,1448603,3170,132,1,1989,NA,"","5/22/2003 0:00","580K","580","K","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","Tennessee","BL","Backhoe Loaders","Two Wheel Drive","OROPS","None or Unspecified","None or Unspecified","No","Standard","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
2308880,91000,1774866,3879,136,1,1000,0,"","2/15/2010 0:00","980G","980","G","","","Medium","Wheel Loader - 275.0 to 350.0 Horsepower","Florida","WL","Wheel Loader","","EROPS w AC","None or Unspecified","","Yes","","","","","","","","2 Valve","","","","","29.5","None or Unspecified","","","","","","","","","","","","","Standard","Command Control"
2333464,9100,1247123,4663,136,4,1985,0,"","6/17/2009 0:00","450D","450","D","","","","Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower","Arkansas","TTT","Track Type Tractors","","OROPS","","","","","Powershift","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","PAT","None or Unspecified","",""
1499500,10000,65735,3537,132,99,1993,NA,"","9/22/2010 0:00","416B","416","B","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","Arkansas","BL","Backhoe Loaders","Two Wheel Drive","OROPS","None or Unspecified","Street","No","Standard","Standard","Yes","","","","","","","","","","","","","","","","","","","","","","","","",""
2226174,61000,134803,1211,136,NA,2000,9337,"High","12/14/2007 0:00","325BL","325","B","","L","Large / Medium","Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons","North Carolina","TEX","Track Excavators","","EROPS w AC","","","","","","","","","","","Standard","","","","","","None or Unspecified","","","","Steel","None or Unspecified","None or Unspecified","None or Unspecified","None or Unspecified","Double","","","","",""
1529463,58000,685791,4149,132,1,1991,NA,"","3/2/2005 0:00","D8N","D8","N","","","Large","Track Type Tractor, Dozer - 260.0 + Horsepower","Texas","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","Semi U","None or Unspecified","",""
1177266,25000,247989,1545,121,3,1998,4253,"Medium","2/21/2008 0:00","D4CIIILGP","D4","C","III","LGP","","Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower","Texas","TTT","Track Type Tractors","","OROPS","","","","","Powershift","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","",""
1157010,6500,1043693,3112,121,3,2000,5087,"Medium","8/26/2011 0:00","1845C","1845","C","","","","Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity","Missouri","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","Manual","Yes","None or Unspecified","Standard","","","","","","","","","","",""
2408528,20000,1467440,257,136,1,1000,0,"","3/29/2007 0:00","D65E-8","D65","E","-8","","Large","Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower","Texas","TTT","Track Type Tractors","","EROPS","","","","","","","","","","","Standard","","","","","","","","","","","","","","","","","Straight","2 Pedal","",""
1622605,19500,1530393,4639,132,4,1990,NA,"","2/9/2000 0:00","410C","410","C","","","","Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth","Florida","BL","Backhoe Loaders","Four Wheel Drive","EROPS","None or Unspecified","None or Unspecified","No","Standard","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
2261524,11000,1640677,4103,136,NA,1966,0,"","10/2/2008 0:00","D4D","D4","D","","","","Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower","Oklahoma","TTT","Track Type Tractors","","OROPS","","","","","Direct Drive","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","",""
2554560,31000,983121,4334,149,1,1998,0,"","7/15/2010 0:00","IT28G","IT28","G","","","Medium","Wheel Loader - 135.0 to 150.0 Horsepower","Texas","WL","Wheel Loader","","EROPS w AC","Yes","","Yes","","","","","","","","2 Valve","","","","","20.5","Manual","","","","","","","","","","","","","Standard","Conventional"
1492274,51000,862997,2753,132,2,1991,NA,"","4/27/1996 0:00","D4HII","D4","H","II","","","Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower","Ohio","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","PAT","None or Unspecified","",""
1177886,41000,147503,4116,121,3,2001,11761,"High","3/12/2008 0:00","D5G","D5","G","","","","Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower","Georgia","TTT","Track Type Tractors","","EROPS w AC","","","","","Hydrostatic","","","","","","4 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","",""
2318412,62500,736692,1580,136,8,2006,0,"","9/12/2007 0:00","D5GLGP","D5","G","","LGP","","Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower","Mississippi","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","",""
2228956,90000,175604,23931,136,1,2002,0,"","5/20/2009 0:00","140HNA","140","H","","","","Motorgrader - 170.0 to 200.0 Horsepower","California","MG","Motor Graders","No","EROPS w AC","","","","","AutoShift","","None or Unspecified","14'","None or Unspecified","Variable","Base + 1 Function","Yes","Yes","Yes","None or Unspecified","17.5""","","","","","","","","","","","","","","",""
2236064,9000,1126534,7257,136,1,1980,0,"","6/17/2008 0:00","910","910","","","","Compact","Wheel Loader - 60.0 to 80.0 Horsepower","Ohio","WL","Wheel Loader","","EROPS","Yes","","None or Unspecified","","","","","","","","2 Valve","","","","","15.5","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1273011,13500,1295700,3261,132,2,1997,NA,"","3/20/2001 0:00","90XT","90","XT","","","","Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity","Texas","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
1584064,36000,1495107,4572,132,1,2001,NA,"","12/1/2009 0:00","160LC","160","","","LC","Small","Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons","California","TEX","Track Excavators","","EROPS","","","","","","","","","","","Standard","","","","","","Manual","","","","Steel","None or Unspecified","None or Unspecified","Hydraulic","None or Unspecified","Double","","","","",""
1775161,14000,1309967,16727,132,1,1999,NA,"","10/10/2006 0:00","WA65-3","WA65","","-3","","Compact","Wheel Loader - 40.0 to 60.0 Horsepower","Florida","WL","Wheel Loader","","EROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","None or Unspecified","Manual","","","","","","","","","","","","","Standard","Conventional"
2228897,90000,474308,23931,136,1,2001,0,"","3/4/2009 0:00","140HNA","140","H","","","","Motorgrader - 170.0 to 200.0 Horsepower","Texas","MG","Motor Graders","No","EROPS w AC","","","","","None or Unspecified","","None or Unspecified","14'","None or Unspecified","Variable","Base + 1 Function","Yes","Yes","None or Unspecified","None or Unspecified","14""","","","","","","","","","","","","","","",""
2353427,9000,1729895,4664,136,NA,1986,0,"","10/24/2008 0:00","450E","450","E","","","","Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower","Wisconsin","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","PAT","None or Unspecified","",""
1260474,12000,1201496,6788,132,1,1980,NA,"","6/17/1993 0:00","580","580","","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","Washington","BL","Backhoe Loaders","Two Wheel Drive","EROPS","None or Unspecified","None or Unspecified","No","Extended","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
2265700,19000,1264859,7277,136,1,1969,0,"","9/21/2007 0:00","950","950","","","","Medium","Wheel Loader - 150.0 to 175.0 Horsepower","Minnesota","WL","Wheel Loader","","EROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","20.5","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
2413550,11500,1227741,28922,136,1,1997,0,"","9/10/2009 0:00","WA2503L","WA250","","3","L","","Wheel Loader - 120.0 to 135.0 Horsepower","Georgia","WL","Wheel Loader","","EROPS w AC","Yes","","None or Unspecified","","","","","","","","2 Valve","","","","","20.5","Manual","","","","","","","","","","","","","Standard","Conventional"
1436522,27000,969936,3560,132,1,1994,NA,"","10/26/1999 0:00","436B","436","B","","","","Backhoe Loader - 16.0 + Ft Standard Digging Depth","Idaho","BL","Backhoe Loaders","Four Wheel Drive","EROPS","None or Unspecified","Reversible","No","Extended","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
1638353,33000,1236967,4606,132,19,2000,NA,"","3/28/2006 0:00","310SE","310","SE","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","New Mexico","BL","Backhoe Loaders","Four Wheel Drive","OROPS","None or Unspecified","None or Unspecified","No","Standard","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
1416079,36000,1323409,3357,132,6,1978,NA,"","11/12/1998 0:00","12G","12","G","","","","Motorgrader - 130.0 to 145.0 Horsepower","California","MG","Motor Graders","No","EROPS","","","","","None or Unspecified","","None or Unspecified","14'","None or Unspecified","No","Base + 1 Function","Yes","Yes","Yes","Sideshift & Tip","None or Unspecified","","","","","","","","","","","","","","",""
1418399,105000,1065151,3357,132,7,1994,NA,"","3/5/1998 0:00","12G","12","G","","","","Motorgrader - 130.0 to 145.0 Horsepower","Alabama","MG","Motor Graders","No","EROPS w AC","","","","","None or Unspecified","","None or Unspecified","12'","None or Unspecified","No","Base + 1 Function","None or Unspecified","None or Unspecified","Yes","None or Unspecified","None or Unspecified","","","","","","","","","","","","","","",""
2532601,18000,722199,3538,149,99,1998,4399,"Medium","1/21/2011 0:00","416C","416","C","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","California","BL","Backhoe Loaders","Two Wheel Drive","OROPS","None or Unspecified","None or Unspecified","No","Extended","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
2403217,11500,1504582,27007,136,NA,1981,0,"","6/7/2007 0:00","D31P16LGP","D31","P","16","LGP","","Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower","Texas","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","Multi Shank","","","","","","","","","","","","","","None or Unspecified","PAT","None or Unspecified","",""
1282416,22000,1107762,3170,132,1,1989,NA,"","4/9/1996 0:00","580K","580","K","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","Washington","BL","Backhoe Loaders","Two Wheel Drive","OROPS","None or Unspecified","None or Unspecified","No","Extended","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
1758282,14500,1386059,5272,132,99,1000,NA,"","5/5/2000 0:00","D41A","D41","A","","","","Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower","Missouri","TTT","Track Type Tractors","","EROPS","","","","","","","","","","","Standard","","","","","","","","","","","","","","","","","No","2 Pedal","",""
1764638,20000,1399120,27000,132,1,1990,NA,"","6/20/2006 0:00","D31E18","D31","E","18","","","Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower","Washington","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","Multi Shank","","","","","","","","","","","","","","None or Unspecified","PAT","None or Unspecified","",""
2277354,25000,1720459,1564,136,1,1989,0,"","12/14/2007 0:00","D4HLGP","D4","H","","LGP","","Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower","North Carolina","TTT","Track Type Tractors","","EROPS","","","","","Standard","","","","","","3 Valve","","Single Shank","","","","","","","","","","","","","","None or Unspecified","PAT","None or Unspecified","",""
2255740,35000,716962,1087,136,1,2000,0,"","12/4/2007 0:00","307BSB","307","B","","SB","Mini","Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons","California","TEX","Track Excavators","","EROPS w AC","","","","","","","","","","","Auxiliary","","","","","","Manual","","","","Steel","None or Unspecified","None or Unspecified","None or Unspecified","Yes","Double","","","","",""
2204779,50000,1542431,13276,136,1,2002,3329,"Medium","4/5/2007 0:00","721C","721","C","","","Medium","Wheel Loader - 150.0 to 175.0 Horsepower","Colorado","WL","Wheel Loader","","EROPS","Yes","","Yes","","","","","","","","2 Valve","","","","","20.5","Manual","","","","","","","","","","","","","Standard","Conventional"
6257073,42500,1665084,3282,149,2,2004,NA,"","12/14/2011 0:00","CX160","CX160","","","","Small","Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons","Florida","TEX","Track Excavators","","EROPS w AC","","","","","","","","","","","Standard","","","","","","None or Unspecified","","","","Steel","None or Unspecified","None or Unspecified","None or Unspecified","None or Unspecified","Double","","","","",""
1202631,26000,1038916,28605,121,3,2001,7193,"Medium","6/3/2010 0:00","PC270LC6L","PC270","LC","6","L","Large / Medium","Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons","Colorado","TEX","Track Excavators","","EROPS w AC","","","","","","","","","","","Auxiliary","","","","","","None or Unspecified","","","","Steel","None or Unspecified","None or Unspecified","None or Unspecified","None or Unspecified","Double","","","","",""
1600407,22000,1328181,8202,132,1,1981,NA,"","4/12/1990 0:00","544","544","","","","","Wheel Loader - 90.0 to 100.0 Horsepower","Texas","WL","Wheel Loader","","EROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","17.5","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1600430,30000,1160180,8247,132,6,1982,NA,"","12/11/1989 0:00","644","644","","","","Medium","Wheel Loader - 175.0 to 200.0 Horsepower","Kentucky","WL","Wheel Loader","","EROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","None or Unspecified","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1602871,36000,1257432,14272,132,1,2003,8514,"High","9/28/2010 0:00","200CLC","200","C","","LC","Large / Medium","Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons","North Carolina","TEX","Track Excavators","","EROPS w AC","","","","","","","","","","","Standard","","","","","","None or Unspecified","","","","Steel","None or Unspecified","9' 7""","Hydraulic","None or Unspecified","Double","","","","",""
1254617,23500,1197181,3171,132,99,1999,NA,"","12/10/2005 0:00","580L","580","L","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","California","BL","Backhoe Loaders","Four Wheel Drive","OROPS","None or Unspecified","None or Unspecified","No","Extended","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
2412179,24500,1661332,643,136,NA,1993,0,"","6/26/2009 0:00","WA500-1L","WA500","","-1L","","Medium","Wheel Loader - 275.0 to 350.0 Horsepower","Connecticut","WL","Wheel Loader","","EROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","29.5","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1494646,23000,1107146,3537,132,10,1992,NA,"","1/29/1998 0:00","416B","416","B","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","Louisiana","BL","Backhoe Loaders","Two Wheel Drive","OROPS","None or Unspecified","None or Unspecified","No","Standard","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
1853657,6500,1190154,18673,132,1,1990,NA,"","9/20/2005 0:00","SL5625","SL5625","","","","","Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity","Illinois","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
